Date,Open,High,Low,Close,Volume,Sector Symbol,Sector Long Name
9/2/2021,48.1300,49.2900,48.1300,48.9000,30821648,XLE,Energy
9/3/2021,48.8000,49.1600,48.3904,48.6200,19583983,XLE,Energy
9/7/2021,48.3900,48.9950,48.1500,48.3300,21240800,XLE,Energy
9/8/2021,48.6000,48.9200,47.6800,47.7100,21899152,XLE,Energy
9/9/2021,47.3900,48.5600,47.1350,47.8100,25264757,XLE,Energy
9/10/2021,48.5500,48.6500,47.6400,47.7900,18756543,XLE,Energy
9/13/2021,48.4100,49.4905,48.4100,49.1600,34249834,XLE,Energy
9/14/2021,49.6000,49.6890,48.2350,48.4500,29467876,XLE,Energy
9/15/2021,49.1400,50.3000,49.0600,50.2600,38347479,XLE,Energy
9/16/2021,50.2100,50.2200,49.4150,49.6900,30321859,XLE,Energy
9/17/2021,49.4400,50.2200,49.1910,49.3200,32229525,XLE,Energy
9/20/2021,47.5500,47.8100,46.4700,47.2400,42830011,XLE,Energy
9/21/2021,47.8000,48.0500,46.8500,47.3500,25661747,XLE,Energy
9/22/2021,48.1500,49.3800,48.1500,48.8100,39626065,XLE,Energy
9/23/2021,49.0800,50.6700,48.8500,50.5200,24867147,XLE,Energy
9/24/2021,50.2500,51.1600,50.1500,50.9000,27751526,XLE,Energy
9/27/2021,52.0200,52.9200,51.9500,52.7100,40848684,XLE,Energy
9/28/2021,53.2100,53.8300,52.7700,52.8900,66487649,XLE,Energy
9/29/2021,52.8400,53.2200,52.1900,52.8900,34947178,XLE,Energy
9/30/2021,52.7400,53.0300,52.0900,52.0900,44599415,XLE,Energy
10/1/2021,52.4700,53.8900,52.4700,53.8400,41656005,XLE,Energy
10/4/2021,54.4150,55.3150,54.1650,54.7200,57407887,XLE,Energy
10/5/2021,55.5000,56.0500,54.4650,55.0400,49014807,XLE,Energy
10/6/2021,54.1300,54.7550,53.5000,54.4600,50087432,XLE,Energy
10/7/2021,54.6000,55.1800,54.3300,54.8800,38798075,XLE,Energy
10/8/2021,55.4600,56.7000,55.3300,56.5700,43100213,XLE,Energy
10/11/2021,57.4200,57.5900,56.3050,56.3600,43010749,XLE,Energy
10/12/2021,56.2500,56.9520,56.0210,56.4100,35519131,XLE,Energy
10/13/2021,56.0000,56.6500,55.3700,56.3600,28951265,XLE,Energy
10/14/2021,57.0000,57.2900,56.4800,57.0500,23396112,XLE,Energy
10/15/2021,57.6900,57.9100,57.3000,57.3300,22677414,XLE,Energy
10/18/2021,57.8900,58.2100,57.0500,57.3700,32628772,XLE,Energy
10/19/2021,57.6100,58.2200,57.2950,58.0200,22276253,XLE,Energy
10/20/2021,57.5800,58.5000,57.3500,58.4900,25106257,XLE,Energy
10/21/2021,58.0400,58.2500,56.9401,57.4100,32120878,XLE,Energy
10/22/2021,57.6200,57.9950,57.0750,57.9500,21502534,XLE,Energy
10/25/2021,58.6600,59.1200,58.3500,58.8000,25056090,XLE,Energy
10/26/2021,59.0000,59.4100,58.7796,59.1400,22751590,XLE,Energy
10/27/2021,58.5000,58.8200,57.3100,57.4400,34003784,XLE,Energy
10/28/2021,57.1300,57.8950,57.1200,57.8500,23367503,XLE,Energy
10/29/2021,58.1400,58.2700,57.2300,57.4700,21998929,XLE,Energy
11/1/2021,58.0400,58.6200,57.8800,58.4600,24514680,XLE,Energy
11/2/2021,58.1200,58.5700,57.7200,57.9100,16987428,XLE,Energy
11/3/2021,57.2100,58.0300,56.9700,57.4300,23337358,XLE,Energy
11/4/2021,58.2800,58.4300,56.9900,57.5100,38181610,XLE,Energy
11/5/2021,58.3000,58.5200,57.7750,58.2600,22603513,XLE,Energy
11/8/2021,58.7500,59.4000,58.4650,58.7900,20011158,XLE,Energy
11/9/2021,58.8600,59.0450,58.0200,59.0300,19468699,XLE,Energy
11/10/2021,58.7800,58.9700,57.1250,57.4700,36016457,XLE,Energy
11/11/2021,57.5100,58.0800,57.5100,57.6900,24498285,XLE,Energy
11/12/2021,57.4500,57.7800,57.2000,57.5500,17037345,XLE,Energy
11/15/2021,57.5000,58.3650,57.0100,58.0300,21375656,XLE,Energy
11/16/2021,58.2000,58.5900,57.8400,58.1200,20479415,XLE,Energy
11/17/2021,57.5500,58.3800,57.0300,57.2300,23669489,XLE,Energy
11/18/2021,57.1000,57.5450,56.2000,56.8900,28955461,XLE,Energy
11/19/2021,55.6600,55.8100,54.5500,54.6700,45689812,XLE,Energy
11/22/2021,54.5900,56.4800,54.5800,55.6400,33897329,XLE,Energy
11/23/2021,56.3700,57.5400,56.3200,57.3500,33863649,XLE,Energy
11/24/2021,57.0500,58.2400,56.9725,57.9100,21434324,XLE,Energy
11/26/2021,55.0400,55.7600,54.1400,55.5800,44727231,XLE,Energy
11/29/2021,56.7900,57.3600,55.7200,55.9000,35441220,XLE,Energy
11/30/2021,54.8500,55.6800,54.3200,54.5900,46261967,XLE,Energy
12/1/2021,55.8700,56.3800,53.9800,54.0100,44799676,XLE,Energy
12/2/2021,54.0400,55.7800,53.4000,55.5800,50371910,XLE,Energy
12/3/2021,56.3300,56.5800,54.6100,55.1400,37940112,XLE,Energy
12/6/2021,55.9900,56.6200,55.3000,55.9600,31969547,XLE,Energy
12/7/2021,56.7400,57.8100,56.6700,57.2700,36843346,XLE,Energy
12/8/2021,57.5900,57.8700,57.1400,57.2600,23514986,XLE,Energy
12/9/2021,56.9000,57.0500,56.4700,56.8200,23399407,XLE,Energy
12/10/2021,57.4300,57.4700,56.2201,57.2400,19525626,XLE,Energy
12/13/2021,56.7300,56.9000,55.3800,55.6500,28603968,XLE,Energy
12/14/2021,55.3100,56.2702,55.2300,55.4200,28798849,XLE,Energy
12/15/2021,55.3400,55.4750,53.9200,55.1500,33858091,XLE,Energy
12/16/2021,55.6300,56.6350,55.4100,55.5000,26865904,XLE,Energy
12/17/2021,55.1000,55.3500,53.8800,54.3700,34834574,XLE,Energy
12/20/2021,52.2300,53.0500,51.6600,53.0100,36330793,XLE,Energy
12/21/2021,53.5500,54.7150,53.5300,54.5200,25159686,XLE,Energy
12/22/2021,54.5800,55.2400,53.9200,54.8700,21103076,XLE,Energy
12/23/2021,55.1100,55.6600,54.8800,54.9000,16685276,XLE,Energy
12/27/2021,54.7200,56.1500,54.2600,56.1000,21742156,XLE,Energy
12/28/2021,56.2400,56.6080,55.7500,56.0600,17940733,XLE,Energy
12/29/2021,55.9700,56.2400,55.4300,55.7000,15109066,XLE,Energy
12/30/2021,55.7200,56.1600,55.3100,55.3600,13589987,XLE,Energy
12/31/2021,55.2200,55.7850,55.1300,55.5000,13214428,XLE,Energy
1/3/2022,55.5800,57.3100,55.5500,57.2200,32527141,XLE,Energy
1/4/2022,58.0000,59.4300,57.8100,59.2000,39978797,XLE,Energy
1/5/2022,59.7800,60.4400,59.1000,59.1900,45402016,XLE,Energy
1/6/2022,60.5800,60.8450,59.6600,60.5100,37340673,XLE,Energy
1/7/2022,60.7400,61.5000,60.3200,61.3400,35584587,XLE,Energy
1/10/2022,61.4800,61.6000,60.3506,61.1500,33236482,XLE,Energy
1/11/2022,61.6800,63.3400,61.1601,63.2300,38273895,XLE,Energy
1/12/2022,63.5700,63.7350,62.8900,63.3500,30248350,XLE,Energy
1/13/2022,63.3500,63.8600,62.7700,63.0300,29776988,XLE,Energy
1/14/2022,63.0900,64.6150,63.0500,64.5100,32400471,XLE,Energy
1/18/2022,65.2000,65.5300,63.7800,64.7700,40830082,XLE,Energy
1/19/2022,65.2700,65.3400,63.7900,64.3000,32627133,XLE,Energy
1/20/2022,63.8800,65.4200,63.5800,63.7100,41990402,XLE,Energy
1/21/2022,62.9900,63.3900,61.7850,62.4500,57269777,XLE,Energy
1/24/2022,60.9700,63.0900,59.8400,62.8700,62294641,XLE,Energy
1/25/2022,62.6300,65.5500,61.4700,65.3100,59121420,XLE,Energy
9/2/2021,48.5799,48.7300,48.1400,48.7300,6576120,XLRE,Real Estate
9/3/2021,48.5800,48.8050,48.1550,48.7300,5537967,XLRE,Real Estate
9/7/2021,48.5500,48.6000,47.7336,48.1900,7162299,XLRE,Real Estate
9/8/2021,48.0100,48.6300,47.9100,48.4800,6704460,XLRE,Real Estate
9/9/2021,48.2100,48.2600,47.4400,47.4500,4573300,XLRE,Real Estate
9/10/2021,47.5000,47.5200,46.8300,46.8500,6203577,XLRE,Real Estate
9/13/2021,47.3300,47.5050,46.9110,47.1100,5495203,XLRE,Real Estate
9/14/2021,47.3300,47.3900,46.7700,47.0100,5234603,XLRE,Real Estate
